contentid,contenttypeid,title,addr1,addr2,zipcode,tel,mapx,mapy,mlevel,firstimage,firstimage2,cpyrhtDivCd,createdtime,modifiedtime,areacode,sigungucode,lDongRegnCd,lDongSignguCd,cat1,cat2,cat3,lclsSystm1,lclsSystm2,lclsSystm3
2830500,39,그럼외도,제주특별자치도 제주시 월대3길 16,,63068,,126.4340393810,33.4942462039,6,http://tong.visitkorea.or.kr/cms/resource/95/2830495_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/95/2830495_image3_1.JPG,Type3,20220729152519,20250512150620,39,4,50,110,A05,A0502,A05020900,FD,FD05,FD050100
2831590,39,고집돌우럭 중문점,제주특별자치도 서귀포시 일주서로 879 (색달동),,63534,,126.4167184145,33.2580109376,6,http://tong.visitkorea.or.kr/cms/resource/40/2832740_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/40/2832740_image3_1.jpg,Type3,20220803110443,20250521131840,39,3,50,130,A05,A0502,A05020100,FD,FD01,FD010100
2831622,39,미쁜제과,제주특별자치도 서귀포시 도원남로 16,,63500,,126.1801414853,33.2691643300,6,http://tong.visitkorea.or.kr/cms/resource/03/2831603_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/03/2831603_image3_1.JPG,Type3,20220803111448,20250428172821,39,3,50,130,A05,A0502,A05020900,FD,FD05,FD050100
2831635,39,오는정김밥,제주특별자치도 서귀포시 동문동로 2,,63590,,126.5675888551,33.2496475788,6,,,,20220803112224,20251029113118,39,3,50,130,A05,A0502,A05020100,FD,FD03,FD030400
2831920,39,수애기베이커리,제주특별자치도 서귀포시 동일하모로98번길 48-59,,63506,,126.2442091801,33.2222482902,6,http://tong.visitkorea.or.kr/cms/resource/06/2831906_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/06/2831906_image3_1.JPG,Type3,20220803151519,20250512152014,39,3,50,130,A05,A0502,A05020900,FD,FD05,FD050100
2831941,39,삼미흑돼지 중문점,제주특별자치도 서귀포시 색달중앙로 33,,63534,,126.4134575743,33.2585497158,6,http://tong.visitkorea.or.kr/cms/resource/33/2831933_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/33/2831933_image3_1.JPG,Type3,20220803152328,20250519105107,39,3,50,130,A05,A0502,A05020100,FD,FD01,FD010100
2831961,39,천짓골식당,제주특별자치도 서귀포시 중앙로41번길 4 천짓골식당,,63592,,126.5613172072,33.2482698538,6,http://tong.visitkorea.or.kr/cms/resource/53/2831953_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/53/2831953_image3_1.JPG,Type3,20220803153353,20250521132910,39,3,50,130,A05,A0502,A05020100,FD,FD01,FD010100
2833201,39,성산 부뚜막식당,제주특별자치도 서귀포시 성산읍 고성오조로 11,,63641,,126.9135544343,33.4451287653,6,http://tong.visitkorea.or.kr/cms/resource/96/2833196_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/96/2833196_image3_1.png,Type3,20220805152010,20250528164647,39,3,50,130,A05,A0502,A05020100,FD,FD01,FD010100
2833244,39,솔동산고기국수,제주특별자치도 서귀포시 부두로 23 (서귀동),,63596,,126.5652336535,33.2429705005,6,http://tong.visitkorea.or.kr/cms/resource/36/2833236_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/36/2833236_image3_1.JPG,Type3,20220805153457,20250528165334,39,3,50,130,A05,A0502,A05020100,FD,FD01,FD010100
2833269,39,유동커피,제주특별자치도 서귀포시 태평로 406-1 (서귀동),,63596,,126.5638031862,33.2445703014,6,http://tong.visitkorea.or.kr/cms/resource/67/2833267_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/67/2833267_image3_1.png,Type3,20220805155058,20250528171803,39,3,50,130,A05,A0502,A05020900,FD,FD05,FD050100
2833308,39,성산 타쿠마스시,제주특별자치도 서귀포시 성산읍 섭지코지로 15,,63641,,126.9185069225,33.4390739586,6,http://tong.visitkorea.or.kr/cms/resource/94/2833294_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/94/2833294_image3_1.png,Type3,20220805160551,20250528172857,39,3,50,130,A05,A0502,A05020300,FD,FD02,FD020200
2833409,39,선이네밥집,제주특별자치도 제주시 조천읍 신북로 262,,63331,,126.6399665376,33.5381469339,6,https://tong.visitkorea.or.kr/cms/resource/59/3578959_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/59/3578959_image3_1.jpg,Type3,20220805170036,20260806104136,,,50,110,,,,FD,FD01,FD010100
2833763,14,산지천갤러리,제주특별자치도 제주시 중앙로3길 36,,63277,,126.5283318960,33.5151474198,6,https://tong.visitkorea.or.kr/cms/resource/32/4074032_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/32/4074032_image3_1.jpg,Type1,20220808140658,20260611171134,,,50,110,,,,VE,VE07,VE070600
2834605,39,허디거디 이도점,제주특별자치도 제주시 신설로11길 2-8,1층,63229,,126.544242076758,33.4910976987433,6,,,,20220809141252,20260304100426,,,50,110,,,,FD,FD02,FD020300
2834656,14,아라리오뮤지엄 동문모텔2,제주특별자치도 제주시 산지로 23,,63278,,126.5293750659,33.5149843124,6,http://tong.visitkorea.or.kr/cms/resource/37/3556937_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/37/3556937_image3_1.jpg,Type3,20220809142925,20251027171542,39,4,50,110,A02,A0206,A02060500,VE,VE07,VE070600
