place_id,name,url,average_rating_5,visitor_review_count,blog_review_count
1571910152,스물다섯,https://place.map.kakao.com/1571910152,4.8,70,77
371491242,윤재커피,https://place.map.kakao.com/371491242,4.9,188,112
1158429121,카페온,https://place.map.kakao.com/1158429121,4.5,29,26
523240571,카페허그,https://place.map.kakao.com/523240571,4.9,15,1
1525524763,헬로효주,https://place.map.kakao.com/1525524763,4.8,31,22
25665611,살롱드라방,https://place.map.kakao.com/25665611,4.0,52,21
165691434,카페단단,https://place.map.kakao.com/165691434,4.8,93,88
877966090,구씨커피로스터스,https://place.map.kakao.com/877966090,,0,63
674259743,한형수정원,https://place.map.kakao.com/674259743,,0,7
2036344906,하소로커피,https://place.map.kakao.com/2036344906,4.6,89,157
1576503770,홉히,https://place.map.kakao.com/1576503770,3.9,91,699
631743410,컴플리트커피,https://place.map.kakao.com/631743410,4.0,44,88
357741732,망고하이,https://place.map.kakao.com/357741732,2.9,29,42
615740956,5L2F,https://place.map.kakao.com/615740956,,0,266
1207134855,롤링브루잉,https://place.map.kakao.com/1207134855,4.7,97,102
363468370,어린왕자감귤밭,https://place.map.kakao.com/363468370,4.6,849,849
1957735346,스페이스제로,https://place.map.kakao.com/1957735346,3.0,6,3
1524377191,더힐링타임,https://place.map.kakao.com/1524377191,4.6,184,47
2144187164,자드부팡,https://place.map.kakao.com/2144187164,4.3,52,336
1542584156,카페광령올레17,https://place.map.kakao.com/1542584156,5.0,4,22
224051140,서귀포 제주에인감귤밭 카페,https://place.map.kakao.com/224051140,3.2,6,360
693062983,제주봄날,https://place.map.kakao.com/693062983,,0,66
1011635289,목장카페밭디,https://place.map.kakao.com/1011635289,4.7,243,2289
2129027989,코리코카페 제주점,https://place.map.kakao.com/2129027989,3.7,49,435
1406187011,레몬뮤지엄,https://place.map.kakao.com/1406187011,4.1,47,321
969056948,대한목장,https://place.map.kakao.com/969056948,4.1,66,585
1455851481,모아시,https://place.map.kakao.com/1455851481,,0,69
1414869661,몽라브,https://place.map.kakao.com/1414869661,4.6,14,205
1280899982,미스터밀크 송당,https://place.map.kakao.com/1280899982,3.6,29,140
34111321,담소요,https://place.map.kakao.com/34111321,4.0,65,577
2144426907,카페어림비,https://place.map.kakao.com/2144426907,5.0,24,243
719538554,애월전당포,https://place.map.kakao.com/719538554,4.7,7,36
439429833,회수다옥,https://place.map.kakao.com/439429833,4.9,72,78
1965407821,이끼숲소길,https://place.map.kakao.com/1965407821,4.0,107,1375
1548286947,핀스,https://place.map.kakao.com/1548286947,3.7,52,262
1729081347,음파,https://place.map.kakao.com/1729081347,4.7,42,136
1563141564,소농로드,https://place.map.kakao.com/1563141564,4.7,56,248
